tmk9txt,viability_class,strict,lvpa
111001001,,False,163532.0892515348
111002001,,False,1089163.2874164819
111002002,,False,143575.37064694604
111002004,,False,187853.37328084078
111002014,durable,True,241894.6319051544
111002015,,False,377562.7524062129
111002016,,False,388596.9200813048
111002020,,False,372514.27999268356
111002022,,False,390205.3104510007
111002025,,False,390446.41340884345
111003001,,False,109253.95836626245
111003004,durable,True,1564028.376529399
111003239,uncertain,True,2578547.1524813375
111003252,,False,1314671.6784476466
111006004,,False,659226.4886257355
111008001,,False,163340.34947718002
111008005,,False,167799.74794001505
111008013,durable,True,1257229.6568501024
111009004,,False,149800.2588578524
111009005,uncertain,True,2760823.3495827042
111009007,durable,True,1766253.4412428113
111010003,,False,1125162.9632965804
111010011,,False,1194962.33051115
111010012,,False,1066049.1546565995
111010017,,False,1083933.0472826592
111010022,,False,3047901.476466355
111010027,,False,261217.14110172488
111010033,,False,239137.75646661903
111010051,,False,1104904.9876093038
111010052,,False,1061265.352168047
111010053,,False,1070882.1656596127
111010054,,False,1139294.941170457
111010064,,False,1127483.9304666566
111010066,,False,378404.71128218353
111010067,,False,347211.0384339085
111010069,,False,40362.70966451106
111011001,,False,354338.23874148994
111012004,,False,10595.43568484603
111012005,,False,1289082.4505817625
111012013,,False,64817.00442976337
111012027,,False,4230742.336314367
111012033,,False,2903084.45451303
111015013,,False,13005238.991825057
111035001,,False,5316273.390922563
111063011,,False,310.16188298899107
112013002,,False,7316207.063420426
112017002,,False,4691513.19468723
112025011,,False,1137128.689595914
112025017,uncertain,True,2190600.092123634
112025036,,False,6696594.119227102
113022001,uncertain,True,5018055.410468708
113024002,,False,1535007.6090410454
114014010,,False,137427.69337723093
114014026,,False,208908.06827900026
114016003,,False,177535.2745625309
115001001,,False,4704074.260138469
115012017,,False,6912773.395271519
115025002,,False,3595014.6986662545
115030005,,False,6458912.150000157
115032002,,False,4285971.0686234655
115034004,,False,1077739.7088451912
115038001,,False,3844520.9517740575
115041002,durable,True,45.13255362354096
115041005,,False,2093057.343133524
115041006,durable,True,1689706.3103718
115041022,durable,True,1324343.14535257
115041042,,False,2997974.7837755186
115041111,,False,2951011.9728790093
115041130,,False,8.276976539338584
115041200,,False,2495656.048507087
116021005,,False,1473712.1619076026
116022001,,False,919221.7192738947
116024041,,False,3872587.040144229
117029003,uncertain,True,6058470.562559212
118001001,,False,1428525.6768237178
119005003,,False,2069599.0138456894
119006001,,False,112320.0776644917
121015009,,False,10495068.810022179
121025002,uncertain,True,9053275.1749815
121033010,,False,16972433.275147196
121035003,,False,7945427.3422176065
121044003,,False,9885795.0823062
121060008,uncertain,True,7152740.922241376
122040014,,False,2928302.071061349
123008001,,False,9824436.402223552
123009001,uncertain,True,8389011.821389372
123016044,,False,19740576.63344529
123037001,uncertain,True,8633154.653783344
123037012,,False,66093846.68922015
123037025,uncertain,True,10600836.121411651
123038014,,False,15860858.043956732
124032001,uncertain,True,4759344.085280516
124033013,uncertain,True,5118707.30856417
126002005,,False,49435675.28357439
126005001,,False,59680892.5458939
126029002,uncertain,True,17424305.14704624
127020001,higher_value_development,True,8393614.85930036
127024001,uncertain,True,8043075.596506448
127036001,durable,True,145392.20958949107
127036002,,False,75374.2412719216
128015001,uncertain,True,2231135.282544659
128018001,higher_value_development,True,4630468.124925144
128023003,,False,4600293.415858712
128029001,,False,3455924.973390975
129004002,higher_value_development,True,1687718.8215901172
129004003,higher_value_development,True,1705892.3194497402
129004005,,False,3220644.1146352277
129036003,,False,276004.02720602276
129043001,,False,1307.3158462587473
129043002,,False,125142.16817113633
131042009,,False,6558754.5438954085
131042018,,False,46103.511603634724
131043001,,False,43160.27936829591
132059002,uncertain,True,4604019.726351394
132060001,,False,8.783612590455498
133001008,higher_value_development,True,815810.0928581398
133056001,,False,539115.3771795233
133056006,durable,True,1454.0134722623359
134007009,,False,370482.0248372229
135016001,,False,5011924.651249901
135017012,,False,2014950.7447471803
135017018,higher_value_development,True,20359640.423513506
135020004,,False,2111903.203211951
135023001,uncertain,True,147319.15523734502
135024009,,False,10958224.413162904
136004001,,False,14564.340335561643
136011009,,False,265489.5176531753
137003077,uncertain,True,2827934.418989598
137004001,,False,181373.47956201163
137016050,,False,6.42783013266355
139005001,durable,True,1306.064996197485
139005027,uncertain,True,2295596.6111644674
139005061,,False,1234976.60032863
139008001,,False,8200.149863609988
139008004,,False,12793257.87837005
139008013,,False,4086.177293589662
139008016,,False,18002716.707959082
139009001,,False,68782.71844725423
139010001,,False,13022.513580487184
139010005,uncertain,True,75781.98398733219
139010006,,False,71415.53715939738
139010023,uncertain,True,75620.2396906411
139010025,uncertain,True,75524.75883489125
139010036,uncertain,True,74767.57417716911
139010041,durable,True,151925.23886253667
139010042,durable,True,150640.26583769848
139010045,uncertain,True,108780.23243249042
139010047,durable,True,14692.58240739149
139010050,,False,14507.180030372112
139011002,durable,True,20002.47751311491
139015025,,False,513711.9672004649
139019044,,False,45085.15857316442
139022037,durable,True,1101456.302678871
139031002,,False,4144903.2507344573
139036002,,False,3352178.5481702993
139038001,,False,548475.9221104175
139048009,,False,4006674.9906512923
141003040,durable,True,389892.4482947199
141008001,durable,True,50626.99275235367
141009001,durable,True,227040.1040751166
141009012,,False,501.79285421857867
141009262,durable,True,3199.328295066938
141009264,,False,63446.46167499504
141009266,durable,True,13583.925589221428
141009269,,False,702.8208884372098
141009270,,False,523555.6924172545
141013010,,False,49323.38852231136
141013031,durable,True,232688.0442077043
141013032,durable,True,17194.967798278405
141015001,,False,42901.96956986329
141015015,durable,True,232145.0267627784
142002002,,False,79262.01800641503
142002016,,False,1873534.9266328039
142002037,,False,1119855.286204652
142003004,,False,165704.21776052733
142003017,,False,17195.95058295522
142003022,,False,463446.6867811472
142003025,,False,153372.9480942987
142003026,,False,361451.8078967564
142003030,durable,True,7556.381588229537
142004048,durable,True,998.6272244924091
142004049,,False,6046.303077200014
142008001,,False,173912.86954208274
142012003,durable,True,40746.8718689532
142013005,durable,True,6823.479132912908
142013010,,False,39430.9396966145
142013038,,False,30634.13211385298
142014004,,False,481516.24217060406
142014006,uncertain,True,185618.59942697643
142015003,,False,15555.476958513867
142015004,,False,30167.16714537332
142015005,durable,True,150267.11388201523
142015013,,False,1729007.2189180537
142015014,higher_value_development,True,659609.1322552448
142017015,durable,True,1377.1041234548823
142017020,,False,6686.902427621095
142090074,,False,1001791.5086775024
142092001,,False,106612.33894034248
143022002,durable,True,518.4167751096841
143056009,,False,231652.19044321316
143076015,,False,341892.8645845161
144008001,,False,155484.55694206327
144009007,,False,239227.6232926078
144009012,,False,151081.29880862354
144009014,,False,449829.1928787652
144009015,,False,201684.69912644473
144011003,durable,True,7669.332681476773
144011081,,False,75039.22893142515
144011082,,False,3146547.1118255933
144012004,,False,2667486.5732553834
144012064,,False,3408778.547002734
144012065,durable,True,4.081234712233822
144034024,,False,2656154.6936972085
145002001,,False,5202300.136781759
145023002,,False,123517.8117303463
145023008,,False,250514.81369049416
145023009,durable,True,246763.97126033387
145023010,,False,250175.51015588368
145023014,,False,150186.02650862437
145030036,,False,392138.299226419
145030037,,False,56734.30975695648
145030051,,False,54215.50291625995
145033002,,False,21562.769018267543
145033003,,False,2756291.653743952
145034013,,False,56901.33414485834
145034014,,False,248260.49233094236
145035008,uncertain,True,56208.14572320209
145060061,,False,3783549.6368532474
145103011,,False,504184.29840987764
146004002,,False,24903.647050157077
146005001,,False,55194.4686235892
146005009,,False,31414.96277794584
146012002,,False,5401360.907202533
146014001,,False,15464.069310662044
146014005,,False,29827.6767416399
146014018,,False,13684.796052808988
146016001,durable,True,19232.590483713833
146016002,durable,True,15014.212523396136
146016032,durable,True,55329.80560783215
146016036,durable,True,5541.128350443968
146031020,,False,19355.26892350543
146031022,,False,5392979.501743024
146031027,,False,4659791.604209392
147004011,,False,1316.936176777304
147004027,,False,5030975.986328168
147004030,,False,5817961.70357721
147005020,,False,73775.88400802057
147005098,,False,73399.9752811857
147006010,durable,True,19988.621517161497
147006013,,False,131280.92949637608
147006022,durable,True,24050.477271236436
147007009,,False,470245.3614739127
147007010,durable,True,2895.5816109266793
147007016,,False,2775.348500081723
147007031,,False,70848.70040159313
147007036,,False,63810.76876797665
147012012,durable,True,149263.88537658376
147012024,,False,123315.83089714272
147013024,,False,187451.6102243721
147014026,,False,427218.887787944
147015009,,False,14240.471719524041
147015013,,False,25864.710361849342
147015014,,False,34642.78967732025
147026023,durable,True,30055.630551312366
147051007,,False,14993.415372136898
147051012,,False,1311.9075405615788
147052119,,False,8.772539274133806
147058001,uncertain,True,125820.81181977918
147071001,,False,2420.3957711468065
149005001,,False,213269.0158948409
153001041,,False,68888.45570149056
154004002,,False,96676.00191778225
154004021,uncertain,True,93020.95570795872
155001002,durable,True,996496.7480535585
155004017,durable,True,425.53993725684956
155006005,,False,183812.3728308714
155006028,,False,647636.6047807996
155006030,,False,642449.8574958084
156001004,durable,True,101908.95694230046
156002011,,False,56712.495857716
156002015,durable,True,63502.30489144741
156002017,,False,697856.0693903861
156002025,,False,36110.92515794304
156002045,uncertain,True,59611.49139661848
156002051,,False,934460.0074186305
156002055,durable,True,48408.65177802757
156003054,higher_value_development,True,1353.783921823303
156003055,higher_value_development,True,75352.33979373175
156003056,higher_value_development,True,236036.78087252812
156003058,higher_value_development,True,75818.25439095993
156003059,higher_value_development,True,17827.73311224463
156003060,higher_value_development,True,2764.042190563676
156003062,higher_value_development,True,75730.6925236546
156006003,,False,72173.58877321248
156006057,,False,679282.7121498941
157001027,,False,5948337.227169026
157001029,,False,5677388.412404907
157001043,,False,75564.94355093798
157001044,higher_value_development,True,473087.7816769521
157001046,,False,3222613.372761107
157001048,higher_value_development,True,598733.1584347051
157001050,higher_value_development,True,1249466.3215559882
157001052,higher_value_development,True,75411.12492287518
157001055,higher_value_development,True,75905.67510075096
157006026,durable,True,14106.326211748466
157006027,durable,True,14737.793912088031
159001038,durable,True,6.589266176000345
159003032,durable,True,144482.91162413527
159004019,,False,207374.3322739865
161004023,uncertain,True,123045.81757289665
161004058,uncertain,True,99403.96366581407
162001001,durable,True,44324.534454897985
162001002,uncertain,True,2263784.6115897032
162001010,uncertain,True,135651.95164224852
166002001,,False,61621.37346288876
166007007,,False,48609.65746347771
166014004,durable,True,15934.802090611185
167001013,,False,97096.9902558197
167001062,,False,500978.55225872586
167001075,uncertain,True,56339.654863333824
167001076,durable,True,17948.350095903144
