step,seg_km,cum_km,cum_acres_le30,cum_acres_le15,marginal_ac_per_km,segment_wkt,smoothed_ac_per_km
41,1.041,29.338,25124.2,22153.3,209.6,"LINESTRING (608828.8109639742 2395983.0420877915, 607928.8109639742 2395983.0420877915, 607828.8109639742 2395883.0420877915)",207.9
42,1.1,30.438,25341.2,22365.1,197.3,"LINESTRING (597828.8109639742 2373483.0420877915, 598928.8109639742 2373483.0420877915)",207.7
43,0.849,31.287,25510.5,22485.8,199.5,"LINESTRING (606328.8109639742 2398583.0420877915, 605728.8109639742 2397983.0420877915)",204.7
44,1.049,32.335,25733.1,22697.5,212.3,"LINESTRING (602028.8109639742 2380483.0420877915, 602228.8109639742 2380383.0420877915, 602728.8109639742 2380983.0420877915)",203.0
45,0.383,32.718,25811.5,22773.4,204.7,"LINESTRING (598528.8109639742 2383383.0420877915, 598728.8109639742 2383583.0420877915, 598728.8109639742 2383683.0420877915)",202.7
46,0.707,33.425,25953.8,22908.1,201.2,"LINESTRING (602728.8109639742 2380983.0420877915, 603228.8109639742 2381483.0420877915)",162.9
47,0.483,33.908,26048.4,22942.1,195.9,"LINESTRING (593728.8109639742 2378583.0420877915, 593528.8109639742 2378983.0420877915)",160.1
48,1.1,35.008,26048.9,22942.6,0.5,"LINESTRING (604228.8109639742 2366583.0420877915, 604228.8109639742 2365483.0420877915)",200.4
49,1.1,36.108,26266.6,23154.3,198.0,"LINESTRING (604228.8109639742 2365483.0420877915, 604228.8109639742 2364383.0420877915)",220.1
50,0.9,37.008,26632.4,23505.9,406.4,"LINESTRING (604228.8109639742 2364383.0420877915, 604228.8109639742 2363483.0420877915)",259.7
51,1.131,38.139,26971.3,23841.1,299.5,"LINESTRING (604228.8109639742 2363483.0420877915, 605028.8109639742 2362683.0420877915)",259.6
52,0.566,38.705,27194.2,24060.8,394.1,"LINESTRING (605028.8109639742 2362683.0420877915, 605428.8109639742 2362283.0420877915)",246.1
53,1.1,39.805,27194.2,24060.8,0.0,"LINESTRING (598628.8109639742 2361183.0420877915, 599728.8109639742 2361183.0420877915)",240.9
54,1.1,40.905,27337.9,24195.1,130.7,"LINESTRING (599728.8109639742 2361183.0420877915, 600828.8109639742 2361183.0420877915)",258.7
