island,A,B,C,D,E
Hawaii,,46553.0,215085.0,569832.0,1698645.0
Kauai,9577.0,27180.0,26235.0,29247.0,246664.0
Lanai,,,4401.0,20410.0,62419.0
Maui,32060.0,18732.0,36728.0,95423.0,262262.0
Molokai,711.0,,3984.0,41971.0,117571.0
Oahu,16023.0,25853.0,14965.0,10560.0,208594.0
