rule,setback_m,agc_total_acres,agc_viable_acres,agc_viable_share,ag12_total_acres,ag12_viable_acres,ag12_viable_share
ord_25_2_1.25mi,2011.7,108417,39386,0.3633,105164,39386,0.3745
pre2025_200m_approx,200.0,108417,91856,0.8473,105164,91856,0.8735
