tmk_or_site,type,acres_total,acres_le15,acres_le30,dist_46kv_km,dist_138kv_km,owner,land_value_per_ac,viability_class,low_improvement_flag,notes,source
111010027,urban_parcel,12.7,12.7,12.7,0.01,0.01,CITY AND COUNTY OF HONOLULU,261217.0,,False,Public-County; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
111010033,urban_parcel,25.5,21.0,24.8,0.38,0.38,CITY AND COUNTY OF HONOLULU,239138.0,,False,Public-County; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
111010051,military_note,12.5,12.0,12.5,0.38,0.38,UNITED STATES OF AMERICA,1104905.0,,False,Public-Federal; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
111010052,military_note,74.5,73.7,74.7,0.0,0.0,UNITED STATES OF AMERICA,1061265.0,,False,Public-Federal; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
111010053,military_note,98.6,95.1,97.2,0.27,0.27,UNITED STATES OF AMERICA,1070882.0,,False,Public-Federal; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
111010054,military_note,20.5,20.4,20.4,0.2,0.2,UNITED STATES OF AMERICA,1139295.0,,True,Public-Federal; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
111010064,military_note,28.7,28.6,28.6,0.0,0.0,UNITED STATES OF AMERICA,1127484.0,,False,Public-Federal; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
111010066,military_note,275.4,270.9,275.6,0.0,0.0,UNITED STATES OF AMERICA,378405.0,,True,Public-Federal; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
111010067,military_note,15.9,13.3,15.8,0.17,0.17,UNITED STATES OF AMERICA,347211.0,,True,Public-Federal; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
111010069,military_note,52.7,42.4,50.3,0.0,0.0,UNITED STATES OF AMERICA,40363.0,,True,Public-Federal; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
111011001,military_note,395.6,278.9,369.7,0.0,0.0,UNITED STATES OF AMERICA,354338.0,,True,Public-Federal; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
111012004,military_note,118.4,42.6,85.6,0.01,0.3,UNITED STATES OF AMERICA,10595.0,,False,Public-Federal; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
111012005,military_note,304.1,165.8,257.2,0.67,1.05,UNITED STATES OF AMERICA,1289082.0,,False,Public-Federal; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
111012013,urban_parcel,58.7,43.9,53.5,0.31,0.86,MOANALUA GOLF CLUB,64817.0,,True,owner suggests golf; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
111012027,urban_parcel,27.4,19.8,24.6,0.0,0.74,DEG RESIDENTIAL LLC,4230742.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
111012033,urban_parcel,15.2,7.6,10.6,0.49,1.25,KAISER FOUNDATION HOSPITALS,2903084.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
111015013,urban_parcel,12.5,12.5,12.5,0.21,0.21,AIRPORT CENTER,13005239.0,,False,owner suggests airport; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
111035001,military_note,12.6,9.7,11.9,0.05,0.05,UNITED STATES OF AMERICA,5316273.0,,True,Public-Federal; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
111063011,urban_parcel,29.0,22.4,28.0,0.28,0.28,STATE OF HAWAII,310.0,,False,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
112013002,urban_parcel,14.8,14.8,14.8,0.02,0.02,STATE OF HAWAII,7316207.0,,False,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
112017002,urban_parcel,11.3,10.7,11.3,0.01,0.01,SEE ESTATE SCHEDULE,4691513.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
112025011,urban_parcel,38.0,37.9,37.9,0.3,0.3,S OF H DOT AIRPORTS DIV,1137129.0,,True,owner suggests airport; Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
112025017,urban_parcel,12.1,12.0,12.1,0.86,0.86,STATE OF HAWAII,2190600.0,uncertain,True,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
112025036,urban_parcel,14.7,14.7,14.7,0.71,0.71,AMAZON.COM SERVICES LLC,6696594.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
113022001,urban_parcel,22.8,15.8,21.5,0.0,0.0,HAWAII PUBLIC HOUSING AUTHORITY,5018055.0,uncertain,True,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
113024002,urban_parcel,10.9,9.3,10.1,0.01,0.01,CITY AND COUNTY OF HONOLULU,1535008.0,,False,Public-County; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
114014010,urban_parcel,69.2,8.1,37.1,0.98,0.98,SISTERS OF SACRED HEARTS,137428.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
114014026,urban_parcel,21.6,4.0,13.5,1.91,1.91,STATE OF HAWAII,208908.0,,True,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
114016003,urban_parcel,21.0,7.9,15.4,2.12,2.12,STATE OF HAWAII,177535.0,,False,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
115001001,urban_parcel,16.4,16.5,16.5,0.0,0.0,HAWAII PUBLIC HOUSING AUTHORITY,4704074.0,,False,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
115012017,urban_parcel,10.9,10.9,10.9,0.07,0.07,COSTCO WHOLESALE CORP,6912773.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
115025002,urban_parcel,19.1,19.1,19.1,0.0,0.0,CITY AND COUNTY OF HONOLULU,3595015.0,,False,Public-County; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
115030005,urban_parcel,12.6,12.6,12.6,0.0,0.0,B P BISHOP TRUST ESTATE,6458912.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
115032002,urban_parcel,24.0,24.1,24.1,0.08,0.08,S OF H DOT HARBORS DIV,4285971.0,,True,owner suggests harbor; Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
115034004,urban_parcel,13.0,13.1,13.1,0.03,0.03,S OF H DOT HARBORS DIV,1077740.0,,False,owner suggests harbor; Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
115038001,urban_parcel,19.8,19.9,19.9,0.59,0.59,S OF H DOT HARBORS DIV,3844521.0,,True,owner suggests harbor; Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
115041002,urban_parcel,11.1,11.1,11.1,1.52,1.52,S OF H DLNR,45.0,durable,True,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
115041005,urban_parcel,50.2,49.3,50.2,1.52,1.52,STATE OF HAWAII,2093057.0,,False,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
115041006,urban_parcel,138.5,138.7,138.7,1.34,1.34,S OF H DLNR,1689706.0,durable,True,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
115041022,urban_parcel,15.9,14.7,16.1,1.58,1.58,S OF H DLNR LAND DIV,1324343.0,durable,True,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
115041042,military_note,37.9,37.9,37.9,1.18,1.18,UNITED STATES OF AMERICA,2997975.0,,True,Public-Federal; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
115041111,urban_parcel,81.9,81.8,81.8,0.91,0.91,S OF H DOT HARBORS DIV,2951012.0,,True,owner suggests harbor; Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
115041130,urban_parcel,12.1,11.9,11.9,1.29,1.29,S OF H DOT HARBORS DIV,8.0,,True,owner suggests harbor; Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
115041200,urban_parcel,38.1,38.2,38.2,1.08,1.08,S OF H DOT HARBORS DIV,2495656.0,,True,owner suggests harbor; Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
116021005,urban_parcel,26.4,26.0,26.5,0.0,0.0,CITY AND COUNTY OF HONOLULU,1473712.0,,False,Public-County; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
116022001,urban_parcel,291.1,80.5,194.5,0.11,0.11,B P BISHOP TRUST ESTATE,919222.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
