tmk_or_site,type,acres_total,acres_le15,acres_le30,dist_46kv_km,dist_138kv_km,owner,land_value_per_ac,viability_class,low_improvement_flag,notes,source
133001008,urban_parcel,41.3,24.5,36.9,0.68,2.93,MARIANIST CENTER OF HAWAII,815810.0,higher_value_development,True,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
133056001,urban_parcel,33.9,1.5,13.4,0.0,2.57,STATE OF HAWAII,539115.0,,True,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
133056006,urban_parcel,92.7,13.0,61.8,0.0,1.98,STATE OF HAWAII,1454.0,durable,True,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
134007009,urban_parcel,10.5,10.4,10.5,0.94,1.82,DEPARTMENT OF EDUCATION,370482.0,,False,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
135016001,urban_parcel,20.2,19.4,20.1,1.19,3.68,B P BISHOP TRUST ESTATE,5011925.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
135017012,urban_parcel,10.1,10.1,10.1,0.64,3.14,CITY AND COUNTY OF HONOLULU,2014951.0,,False,Public-County; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
135017018,urban_parcel,11.1,11.2,11.2,0.82,3.27,TROPIC GARDENS I,20359640.0,higher_value_development,True,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
135020004,urban_parcel,23.4,20.3,23.1,1.26,3.55,CITY AND COUNTY OF HONOLULU,2111903.0,,False,Public-County; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
135023001,urban_parcel,144.6,143.3,144.6,1.19,3.71,,147319.0,uncertain,True,no RPAD owner row found; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
135024009,urban_parcel,20.0,6.1,15.4,0.87,3.0,KALANI-IKI,10958224.0,,True,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
136004001,urban_parcel,84.8,8.0,44.3,0.49,2.52,CITY AND COUNTY OF HONOLULU,14564.0,,True,Public-County; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
136011009,urban_parcel,15.9,13.7,15.3,1.81,4.39,CITY AND COUNTY OF HONOLULU,265490.0,,False,Public-County; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
137003077,urban_parcel,15.4,11.7,15.0,0.0,5.12,CITY AND COUNTY OF HONOLULU,2827934.0,uncertain,True,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
137004001,urban_parcel,17.5,7.3,13.5,0.14,5.31,TIANA HOLDINGS LLC,181373.0,,True,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
137016050,urban_parcel,15.6,7.9,15.0,0.48,4.17,HI LOA RIDGE OWNERS ASSN,6.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
139005001,urban_parcel,24.4,14.5,17.1,1.58,9.12,B P BISHOP TRUST ESTATE,1306.0,durable,True,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
139005027,urban_parcel,31.9,30.2,32.0,2.85,9.06,CITY AND COUNTY OF HONOLULU,2295597.0,uncertain,True,Public-County; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
139005061,urban_parcel,16.0,13.4,15.4,1.6,9.56,CITY AND COUNTY OF HONOLULU,1234977.0,,False,Public-County; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
139008001,urban_parcel,43.0,3.5,12.7,1.93,6.31,B P BISHOP TRUST ESTATE,8200.0,,True,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
139008004,urban_parcel,13.7,13.7,13.7,3.3,8.38,KOKO ISLE,12793258.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
139008013,urban_parcel,119.9,8.2,51.2,0.46,7.76,B P BISHOP TRUST ESTATE,4086.0,,True,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
139008016,urban_parcel,33.8,33.6,33.7,3.12,8.6,"HAWAII KAI PENINSULA,THE",18002717.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
139009001,urban_parcel,25.1,2.1,12.9,0.33,6.31,B P BISHOP TRUST ESTATE,68783.0,,True,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
139010001,urban_parcel,63.8,8.1,21.5,0.0,9.48,B P BISHOP TRUST ESTATE,13023.0,,True,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
139010005,urban_parcel,30.8,30.7,30.9,0.53,10.96,B P BISHOP TRUST ESTATE,75782.0,uncertain,True,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
139010006,urban_parcel,55.1,49.3,53.1,0.05,11.24,B P BISHOP TRUST ESTATE,71416.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
139010023,urban_parcel,62.2,60.9,62.1,0.11,10.89,B P BISHOP TRUST ESTATE,75620.0,uncertain,True,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
139010025,urban_parcel,16.1,14.8,15.6,0.53,10.48,B P BISHOP TRUST ESTATE,75525.0,uncertain,True,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
139010036,urban_parcel,20.0,20.0,20.1,0.37,11.02,B P BISHOP TRUST ESTATE,74768.0,uncertain,True,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
139010041,urban_parcel,13.3,13.3,13.3,0.61,11.47,CITY AND COUNTY OF HONOLULU,151925.0,durable,True,Public-County; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
139010042,urban_parcel,16.9,16.0,17.0,0.58,11.74,CITY AND COUNTY OF HONOLULU,150640.0,durable,True,Public-County; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
139010045,urban_parcel,29.8,13.6,19.5,0.8,10.67,KOKO VILLAS LLC,108780.0,uncertain,True,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
139010047,urban_parcel,97.2,18.2,57.7,0.42,11.28,LIVABLE HAWAII KAI HUI,14693.0,durable,True,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
139010050,urban_parcel,83.1,8.7,50.9,0.0,10.93,LIVABLE HAWAII KAI HUI,14507.0,,True,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
139011002,urban_parcel,221.0,171.3,189.7,0.53,11.83,STATE OF HAWAII,20002.0,durable,True,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
139015025,urban_parcel,13.9,12.8,13.8,0.92,11.18,HAWAII-AMERICAN WATER CO,513712.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
139019044,urban_parcel,68.9,29.2,65.9,0.71,7.76,HAWAII KAI MEMORIAL PARK LLC,45085.0,,True,owner suggests cemetery; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
139022037,urban_parcel,13.8,13.7,13.9,3.58,8.9,CITY AND COUNTY OF HONOLULU,1101456.0,durable,True,Public-County; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
139031002,urban_parcel,24.6,24.5,24.5,2.51,7.52,KUAPA ISLE,4144903.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
139036002,urban_parcel,21.6,14.5,18.2,2.27,6.88,CHURCHILL HAWAII KAI OWNER LLC,3352179.0,,False,owner suggests church; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
139038001,urban_parcel,10.9,10.9,10.9,2.86,7.36,CITY AND COUNTY OF HONOLULU,548476.0,,False,Public-County; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
139048009,urban_parcel,11.7,11.4,11.8,3.47,8.68,B P BISHOP TRUST ESTATE,4006675.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
141003040,urban_parcel,29.3,29.1,29.4,0.83,7.19,HAWAIIAN HOME LANDS,389892.0,durable,True,Public-State DHHL; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
141008001,urban_parcel,41.0,11.1,37.5,0.02,7.14,HAWAIIAN HOME LANDS,50627.0,durable,True,Public-State DHHL; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
141009001,urban_parcel,12.0,12.0,12.0,0.02,4.8,STATE OF HAWAII,227040.0,durable,True,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
141009012,urban_parcel,18.5,18.4,18.5,0.3,4.96,STATE OF HAWAII,502.0,,False,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
141009262,urban_parcel,32.6,32.0,32.5,0.02,5.5,STATE OF HAWAII,3199.0,durable,True,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
141009264,urban_parcel,24.3,24.3,24.3,0.02,4.96,STATE OF HAWAII,63446.0,,False,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
141009266,urban_parcel,30.5,29.9,30.5,0.02,5.3,STATE OF HAWAII/DEPT OF AGRICULTURE,13584.0,durable,True,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
141009269,urban_parcel,13.8,13.8,13.8,0.01,5.88,STATE OF HAWAII,703.0,,False,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
141009270,urban_parcel,10.3,10.3,10.3,0.0,6.09,STATE OF HAWAII,523556.0,,False,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
141013010,urban_parcel,129.2,119.1,128.5,0.0,3.56,STATE OF HAWAII,49323.0,,False,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
141013031,urban_parcel,11.8,11.7,11.8,0.37,4.14,STATE OF HAWAII,232688.0,durable,True,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
141013032,urban_parcel,16.3,16.2,16.2,0.21,3.77,STATE OF HAWAII/DEPT OF AGRICULTURE,17195.0,durable,True,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
141015001,military_note,1262.3,1164.7,1238.9,0.4,3.29,UNITED STATES OF AMERICA,42902.0,,True,Public-Federal; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
141015015,urban_parcel,80.5,80.5,80.6,0.31,5.65,CITY AND COUNTY OF HONOLULU,232145.0,durable,True,Public-County; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
142002002,urban_parcel,168.3,143.3,161.2,0.04,1.58,B P BISHOP TRUST ESTATE,79262.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
142002016,urban_parcel,52.8,9.8,25.6,0.32,2.44,BLUESTONE,1873535.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
142002037,urban_parcel,13.1,13.1,13.1,0.07,1.74,CITY AND COUNTY OF HONOLULU,1119855.0,,False,Public-County; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
142003004,urban_parcel,72.5,45.6,68.2,0.0,1.19,STATE OF HAWAII,165704.0,,False,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
142003017,urban_parcel,11.7,7.4,11.0,0.04,0.19,STATE OF HAWAII,17196.0,,True,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
142003022,urban_parcel,33.1,32.7,33.2,0.18,0.83,STATE OF HAWAII,463447.0,,False,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
142003025,urban_parcel,12.0,5.5,11.2,0.28,0.72,STATE OF HAWAII,153373.0,,True,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
142003026,urban_parcel,14.6,5.4,11.3,0.43,0.8,STATE OF HAWAII,361452.0,,True,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
142003030,urban_parcel,22.6,22.1,22.6,0.04,0.18,STATE OF HAWAII,7556.0,durable,True,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
142004048,urban_parcel,19.6,12.3,17.1,0.07,3.1,AKAAKAAWA LLC,999.0,durable,True,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
142004049,urban_parcel,68.6,2.4,22.6,0.0,1.14,424 W 54 LLC,6046.0,,True,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
142008001,urban_parcel,15.2,9.7,12.7,0.69,0.7,HRT REALTY LLC,173913.0,,True,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
142012003,urban_parcel,28.1,16.8,24.0,0.0,0.68,"CASTLE,JAMES C JR TR",40747.0,durable,True,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
142013005,urban_parcel,35.2,27.8,33.0,0.0,1.5,STATE OF HAWAII,6823.0,durable,True,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
142013010,urban_parcel,36.5,17.8,29.6,0.07,1.05,STATE OF HAWAII,39431.0,,False,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
142013038,urban_parcel,19.1,8.2,14.3,0.0,1.18,STATE OF HAWAII,30634.0,,False,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
142014004,urban_parcel,23.9,12.8,17.9,0.04,1.35,LE JARDIN ACADEMY INC,481516.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
142014006,urban_parcel,24.7,22.3,24.7,0.0,0.83,TROPIC OAHU AG LAND OWNER LLC,185619.0,uncertain,True,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
142015003,urban_parcel,13.7,0.9,10.7,0.52,0.52,KAPAA LANDFILL HOLDINGS LLC,15555.0,,True,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
142015004,urban_parcel,56.1,17.3,48.9,0.41,0.41,CITY AND COUNTY OF HONOLULU,30167.0,,False,Public-County; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
142015005,urban_parcel,19.6,13.8,19.1,0.41,0.41,CITY AND COUNTY OF HONOLULU,150267.0,durable,True,Public-County; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
142015013,urban_parcel,22.3,21.1,21.9,0.2,0.2,"KAPAA III, LLC",1729007.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
142015014,urban_parcel,56.1,44.2,51.2,0.0,0.0,"KAPAA I, LLC",659609.0,higher_value_development,True,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
142017015,urban_parcel,19.7,19.6,19.7,0.0,0.0,STATE OF HAWAII,1377.0,durable,True,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
142017020,urban_parcel,11.2,8.9,10.6,0.0,0.0,STATE OF HAWAII,6687.0,,True,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
142090074,urban_parcel,11.2,9.5,11.0,0.53,1.3,STATE OF HAWAII,1001792.0,,True,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
142092001,urban_parcel,10.8,9.3,10.8,0.0,2.56,CITY AND COUNTY OF HONOLULU,106612.0,,False,Public-County; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
143022002,urban_parcel,12.7,12.7,12.7,0.02,0.2,STATE OF HAWAII,518.0,durable,True,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
143056009,urban_parcel,36.9,36.9,36.9,0.0,0.39,CITY AND COUNTY OF HONOLULU,231652.0,,False,Public-County; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
143076015,urban_parcel,10.4,10.4,10.4,0.14,0.33,CITY AND COUNTY OF HONOLULU,341893.0,,False,Public-County; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
144008001,military_note,1496.0,1364.1,1456.2,0.0,0.0,UNITED STATES OF AMERICA,155485.0,,True,Public-Federal; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
144009007,military_note,14.9,14.9,14.9,1.73,1.86,UNITED STATES OF AMERICA,239228.0,,False,Public-Federal; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
144009012,military_note,23.8,23.9,23.9,1.74,1.93,UNITED STATES OF AMERICA,151081.0,,True,Public-Federal; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
144009014,military_note,115.1,92.0,109.8,1.47,1.85,UNITED STATES OF AMERICA,449829.0,,True,Public-Federal; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
144009015,military_note,357.4,328.8,350.8,0.99,1.43,UNITED STATES OF AMERICA,201685.0,,True,Public-Federal; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
144011003,urban_parcel,44.0,12.9,34.6,0.0,0.0,TROPIC KAILUA TELCOM LLC,7669.0,durable,True,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
144011081,urban_parcel,25.1,24.0,25.0,0.0,0.0,CITY AND COUNTY OF HONOLULU,75039.0,,False,Public-County; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
144011082,urban_parcel,23.7,16.2,18.4,0.0,0.0,AIKAHI GARDENS,3146547.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
144012004,urban_parcel,16.1,11.0,14.9,0.46,0.46,YACHT CLUB KNOLLS,2667487.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
144012064,urban_parcel,27.0,16.1,24.4,0.6,0.6,YACHT CLUB TERRACE,3408779.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
144012065,urban_parcel,24.5,10.8,16.4,0.24,0.24,STATE OF HAWAII,4.0,durable,True,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
144034024,urban_parcel,14.8,11.8,14.8,0.0,0.0,CITY AND COUNTY OF HONOLULU,2656155.0,,False,Public-County; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
145002001,urban_parcel,10.8,7.6,10.1,1.43,2.71,MAKANI KAI MARINA,5202300.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
145023002,urban_parcel,84.9,68.6,81.2,0.0,0.0,STATE OF HAWAII,123518.0,,False,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
145023008,urban_parcel,14.0,11.6,14.0,0.3,1.2,HAWAII PUBLIC HOUSING AUTHORITY,250515.0,,False,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
145023009,urban_parcel,18.8,18.3,18.7,0.32,0.91,STATE OF HAWAII,246764.0,durable,True,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
145023010,urban_parcel,12.6,9.4,11.5,0.18,0.9,STATE OF HAWAII,250176.0,,False,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
145023014,urban_parcel,64.0,62.4,64.0,0.46,0.46,STATE OF HAWAII,150186.0,,False,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
145030036,urban_parcel,15.9,15.6,15.6,0.91,1.57,CITY AND COUNTY OF HONOLULU,392138.0,,False,Public-County; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
145030037,urban_parcel,39.5,34.0,37.7,0.75,1.59,BAYVIEW KANEOHE GOLF PARK INC,56734.0,,False,owner suggests golf; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
145030051,urban_parcel,45.2,33.0,41.1,0.57,1.23,BAYVIEW KANEOHE GOLF PARK INC,54216.0,,True,owner suggests golf; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
145033002,urban_parcel,84.5,55.5,77.3,0.35,0.67,STATE OF HAWAII,21563.0,,False,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
145033003,urban_parcel,11.5,6.9,11.1,0.44,0.93,POHAI NANI,2756292.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
145034013,urban_parcel,43.7,41.0,43.7,0.04,0.46,HAWAII MEMORIAL LIFE PLAN LTD,56901.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
145034014,urban_parcel,35.5,32.9,35.2,0.07,1.84,CITY AND COUNTY OF HONOLULU,248260.0,,False,Public-County; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
145035008,urban_parcel,28.1,19.6,27.2,0.05,0.32,HAWAII MEMORIAL LIFE PLAN LTD,56208.0,uncertain,True,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
145060061,urban_parcel,15.1,14.9,15.1,0.01,1.54,TROPIC WINDWARD OWNER LLC,3783550.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
145103011,urban_parcel,15.0,11.9,14.8,0.01,1.1,CITY AND COUNTY OF HONOLULU,504184.0,,False,Public-County; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
146004002,urban_parcel,28.3,23.7,28.3,1.89,2.04,CITY AND COUNTY OF HONOLULU,24904.0,,False,Public-County; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
146005001,urban_parcel,13.5,12.3,13.1,1.99,1.99,B P BISHOP TRUST ESTATE,55194.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
146005009,urban_parcel,16.9,9.5,15.7,2.05,2.05,S OF H DLNR,31415.0,,False,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
146012002,urban_parcel,14.9,13.5,14.3,0.81,0.96,HAIKU GARDENS,5401361.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
146014001,urban_parcel,21.7,17.1,20.4,0.0,0.0,B P BISHOP TRUST ESTATE,15464.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
146014005,urban_parcel,27.2,7.2,14.9,0.15,0.15,B P BISHOP TRUST ESTATE,29828.0,,True,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
