tmk,parcel_acres,slope_0_5,slope_5_10,slope_10_15,slope_15_20,slope_20_25,slope_25_30,slope_gt30
141010018,0.712,0.0,0.198,0.148,0.247,0.148,0.0,0.0
141010019,1.483,0.395,0.692,0.222,0.148,0.049,0.0,0.0
141010020,0.291,0.148,0.173,0.0,0.0,0.0,0.0,0.0
141010021,1.036,0.148,0.89,0.0,0.0,0.0,0.0,0.0
141010022,1.115,0.297,0.272,0.099,0.124,0.198,0.025,0.074
141010023,1.127,0.618,0.395,0.049,0.0,0.049,0.025,0.0
141010024,1.787,0.618,0.519,0.346,0.222,0.049,0.0,0.0
141010025,5.307,0.84,1.903,1.137,0.84,0.544,0.049,0.0
141010026,11.292,0.049,1.656,6.128,1.606,0.914,0.371,0.618
141010027,5.741,0.049,0.124,0.42,0.791,0.815,1.087,2.397
141010028,6.908,0.124,1.26,1.334,1.31,1.112,0.766,1.013
141010029,1.803,0.0,0.173,0.766,0.642,0.198,0.0,0.049
141010030,11.173,0.939,3.978,4.176,1.483,0.544,0.074,0.0
141010031,3.428,0.049,1.26,1.112,0.42,0.247,0.124,0.222
141010032,2.118,0.0,1.013,0.89,0.198,0.025,0.0,0.0
141010033,5.164,1.038,2.076,0.89,0.766,0.272,0.099,0.0
141010034,5.27,0.988,2.002,1.754,0.42,0.074,0.0,0.0
141010035,0.594,0.049,0.173,0.124,0.148,0.124,0.0,0.0
141010036,0.067,0.0,0.025,0.025,0.025,0.0,0.0,0.0
141010037,4.823,0.914,1.656,1.26,0.568,0.346,0.025,0.0
141010038,3.405,0.247,2.323,0.791,0.025,0.025,0.0,0.0
141010039,3.66,0.0,2.372,1.359,0.0,0.0,0.0,0.0
141010040,3.902,1.557,2.002,0.247,0.0,0.0,0.0,0.0
141010041,4.152,1.779,1.656,0.445,0.247,0.025,0.0,0.0
141010042,4.483,2.57,1.211,0.618,0.124,0.0,0.0,0.0
141010043,4.618,3.805,0.47,0.247,0.124,0.0,0.0,0.0
141010044,4.076,3.41,0.618,0.0,0.0,0.0,0.0,0.0
141010045,0.107,0.148,0.0,0.0,0.0,0.0,0.0,0.0
141010046,5.164,4.102,0.791,0.074,0.099,0.025,0.0,0.0
141010047,0.128,0.0,0.049,0.025,0.049,0.025,0.0,0.0
141010048,5.297,1.977,2.669,0.494,0.148,0.0,0.0,0.0
141010049,0.208,0.099,0.025,0.025,0.025,0.025,0.0,0.0
141010050,1.562,0.741,0.371,0.124,0.297,0.074,0.0,0.0
141010051,0.529,0.173,0.321,0.074,0.0,0.0,0.0,0.0
141010052,1.141,0.049,0.346,0.395,0.198,0.124,0.0,0.0
141010053,0.996,0.297,0.593,0.074,0.049,0.025,0.0,0.0
141010054,0.768,0.074,0.42,0.173,0.074,0.025,0.0,0.0
141010055,1.118,0.074,0.371,0.445,0.148,0.099,0.0,0.0
141010056,1.01,0.025,0.297,0.272,0.272,0.124,0.0,0.0
141010057,1.091,0.099,0.222,0.346,0.148,0.148,0.099,0.0
141010058,0.517,0.198,0.099,0.198,0.0,0.0,0.0,0.0
141010059,1.494,0.42,0.519,0.494,0.074,0.025,0.0,0.0
141010060,3.708,0.544,1.631,1.087,0.346,0.099,0.0,0.0
141010061,2.205,0.395,1.409,0.371,0.025,0.0,0.0,0.0
141010062,0.738,0.124,0.494,0.173,0.0,0.0,0.0,0.0
141010063,1.319,0.0,0.0,0.618,0.42,0.272,0.0,0.0
141010064,8.934,0.544,3.163,3.385,1.409,0.297,0.099,0.049
141010065,0.124,0.0,0.025,0.099,0.0,0.0,0.0,0.0
141010066,1.467,0.0,0.865,0.519,0.025,0.0,0.0,0.0
141010067,1.226,0.0,0.099,0.346,0.519,0.148,0.099,0.0
141010068,1.779,0.865,0.47,0.371,0.025,0.0,0.0,0.0
141010069,8.132,2.175,2.1,1.112,1.236,0.939,0.321,0.124
141010070,0.584,0.074,0.346,0.148,0.025,0.025,0.0,0.0
141010071,2.397,0.642,0.865,0.321,0.346,0.173,0.0,0.0
141010072,0.847,0.124,0.544,0.222,0.0,0.0,0.0,0.0
141010073,1.163,0.247,0.667,0.247,0.0,0.0,0.0,0.0
141010076,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141010078,0.061,0.0,0.0,0.049,0.0,0.0,0.0,0.0
141010079,5.779,0.0,0.544,2.224,1.581,0.914,0.272,0.198
141010081,13.318,0.0,0.222,1.236,2.792,2.249,1.483,5.387
141010083,3.548,0.124,1.236,1.656,0.47,0.0,0.0,0.0
141010084,0.065,0.049,0.025,0.0,0.0,0.0,0.0,0.0
141010086,1.004,0.0,0.124,0.42,0.297,0.148,0.0,0.0
141010088,1.501,0.272,0.988,0.297,0.0,0.0,0.0,0.0
141010089,0.315,0.124,0.099,0.025,0.049,0.0,0.0,0.0
141010090,0.397,0.272,0.124,0.049,0.0,0.0,0.0,0.0
141010092,3.57,0.692,2.323,0.519,0.0,0.0,0.0,0.0
141010095,10.029,0.914,2.619,2.866,2.595,0.791,0.173,0.099
141010102,2.016,0.074,0.717,0.964,0.173,0.049,0.0,0.0
141010103,45.189,1.31,6.425,9.168,8.575,6.795,4.744,8.13
141010104,3.026,0.0,0.148,1.631,0.914,0.272,0.0,0.0
141010105,36.42,0.049,1.754,4.324,6.672,6.029,4.497,13.245
141010106,46.115,0.198,2.076,5.881,7.611,10.23,7.413,12.652
141010107,402.043,1.631,7.388,16.012,25.748,35.904,38.054,277.104
141011001,1281.313,0.395,1.606,4.374,17.816,47.444,65.013,1144.716
141013004,0.751,0.371,0.395,0.0,0.0,0.0,0.0,0.0
141013010,130.292,70.647,32.272,17.05,6.82,2.175,0.593,0.618
141013011,55.267,0.988,2.323,4.127,6.499,6.993,9.835,24.513
141013012,4.946,2.743,1.211,0.42,0.395,0.173,0.0,0.0
141013017,4.131,0.89,1.161,0.42,0.47,0.47,0.297,0.395
141018004,1.004,0.297,0.346,0.371,0.0,0.0,0.0,0.0
141018005,1.066,0.222,0.395,0.395,0.025,0.0,0.0,0.0
141018006,1.014,0.148,0.371,0.395,0.074,0.0,0.0,0.0
141018007,1.037,0.247,0.247,0.371,0.173,0.0,0.0,0.0
141018008,1.113,0.395,0.445,0.198,0.074,0.0,0.0,0.0
141018009,1.133,0.667,0.198,0.124,0.173,0.0,0.0,0.0
141018010,0.985,0.741,0.124,0.025,0.074,0.0,0.0,0.0
141018011,1.041,0.642,0.198,0.099,0.099,0.0,0.0,0.0
141018012,1.097,0.865,0.099,0.099,0.0,0.0,0.0,0.0
141018013,1.065,0.939,0.148,0.049,0.0,0.0,0.0,0.0
141018014,1.031,1.038,0.0,0.0,0.0,0.0,0.0,0.0
141018015,1.034,0.988,0.0,0.0,0.0,0.0,0.0,0.0
141018016,0.966,0.964,0.0,0.0,0.0,0.0,0.0,0.0
141018017,1.044,0.939,0.124,0.0,0.0,0.0,0.0,0.0
141018018,0.909,0.791,0.124,0.0,0.0,0.0,0.0,0.0
141018021,1.588,1.31,0.247,0.0,0.0,0.0,0.0,0.0
141018022,5.44,2.273,1.581,1.186,0.445,0.025,0.0,0.0
141018023,0.313,0.099,0.148,0.049,0.0,0.0,0.0,0.0
141018024,1.274,0.321,0.519,0.346,0.074,0.0,0.0,0.0
141018025,0.742,0.247,0.198,0.099,0.198,0.0,0.0,0.0
141018026,1.199,0.692,0.297,0.247,0.0,0.0,0.0,0.0
141018027,0.689,0.173,0.321,0.222,0.0,0.0,0.0,0.0
141018029,1.051,0.815,0.272,0.0,0.0,0.0,0.0,0.0
141018030,0.934,0.692,0.247,0.0,0.0,0.0,0.0,0.0
141018031,1.027,0.84,0.173,0.0,0.0,0.0,0.0,0.0
141018032,1.036,0.494,0.593,0.0,0.0,0.0,0.0,0.0
141018033,0.955,0.84,0.099,0.0,0.0,0.0,0.0,0.0
141018034,1.088,0.667,0.297,0.124,0.0,0.0,0.0,0.0
141018035,0.263,0.272,0.0,0.0,0.0,0.0,0.0,0.0
141018036,1.01,0.642,0.124,0.099,0.099,0.025,0.0,0.0
141018037,0.7,0.568,0.099,0.025,0.0,0.0,0.0,0.0
141018038,0.135,0.148,0.0,0.0,0.0,0.0,0.0,0.0
141018040,7.009,3.682,2.002,0.865,0.321,0.148,0.0,0.0
141018041,0.068,0.0,0.074,0.0,0.0,0.0,0.0,0.0
141018043,0.68,0.173,0.173,0.099,0.222,0.0,0.0,0.0
141018044,1.022,0.222,0.371,0.198,0.124,0.099,0.0,0.0
141018046,0.7,0.272,0.297,0.099,0.049,0.0,0.0,0.0
141018047,3.085,2.323,0.148,0.222,0.222,0.124,0.025,0.0
141018048,1.433,0.84,0.568,0.074,0.0,0.0,0.0,0.0
141018049,0.848,0.791,0.074,0.0,0.0,0.0,0.0,0.0
141018050,0.812,0.766,0.0,0.0,0.0,0.0,0.0,0.0
141018051,2.237,1.384,0.692,0.198,0.0,0.0,0.0,0.0
141019007,0.373,0.346,0.025,0.0,0.0,0.0,0.0,0.0
141019008,0.248,0.173,0.074,0.0,0.0,0.0,0.0,0.0
141019009,0.243,0.124,0.099,0.0,0.0,0.0,0.0,0.0
141019033,6.128,5.362,0.544,0.124,0.099,0.0,0.0,0.0
141020001,0.321,0.346,0.0,0.0,0.0,0.0,0.0,0.0
141020002,0.366,0.297,0.049,0.0,0.0,0.0,0.0,0.0
141020003,0.345,0.297,0.049,0.0,0.0,0.0,0.0,0.0
141020029,0.265,0.247,0.025,0.0,0.0,0.0,0.0,0.0
141020033,0.243,0.247,0.025,0.0,0.0,0.0,0.0,0.0
141020034,0.252,0.272,0.0,0.0,0.0,0.0,0.0,0.0
141020035,0.257,0.173,0.049,0.0,0.0,0.0,0.0,0.0
141021003,0.266,0.198,0.099,0.0,0.0,0.0,0.0,0.0
141021004,0.243,0.173,0.074,0.0,0.0,0.0,0.0,0.0
141021032,1.328,0.815,0.494,0.0,0.0,0.0,0.0,0.0
141023023,0.151,0.148,0.0,0.0,0.0,0.0,0.0,0.0
141023024,0.154,0.148,0.0,0.0,0.0,0.0,0.0,0.0
141023025,0.127,0.124,0.0,0.0,0.0,0.0,0.0,0.0
141023026,0.119,0.0,0.049,0.049,0.025,0.0,0.0,0.0
141023027,0.129,0.0,0.025,0.099,0.0,0.0,0.0,0.0
141023028,0.118,0.148,0.0,0.0,0.0,0.0,0.0,0.0
141023030,0.134,0.025,0.074,0.0,0.049,0.0,0.0,0.0
141023031,0.151,0.074,0.049,0.025,0.025,0.0,0.0,0.0
141023032,0.146,0.049,0.025,0.025,0.025,0.0,0.0,0.0
141023033,0.127,0.074,0.025,0.025,0.049,0.0,0.0,0.0
141023034,0.13,0.025,0.025,0.049,0.0,0.0,0.0,0.0
141023035,0.137,0.049,0.049,0.049,0.0,0.0,0.0,0.0
141023065,1.781,0.914,0.692,0.124,0.025,0.0,0.0,0.0
141023067,0.356,0.148,0.173,0.099,0.0,0.0,0.0,0.0
141024001,0.164,0.148,0.049,0.0,0.0,0.0,0.0,0.0
141024002,1.019,0.667,0.395,0.0,0.0,0.0,0.0,0.0
141024003,1.037,0.519,0.395,0.049,0.0,0.0,0.0,0.0
141024004,0.633,0.099,0.321,0.222,0.025,0.0,0.0,0.0
141024006,0.358,0.0,0.222,0.099,0.025,0.0,0.0,0.0
141024007,0.165,0.049,0.049,0.049,0.0,0.0,0.0,0.0
141024010,0.384,0.198,0.148,0.049,0.0,0.0,0.0,0.0
141024011,6.506,5.016,1.137,0.247,0.124,0.025,0.0,0.0
141024017,1.041,0.445,0.173,0.074,0.148,0.124,0.025,0.0
141024018,3.684,2.446,0.766,0.222,0.222,0.0,0.0,0.0
141024019,2.278,0.494,1.112,0.42,0.124,0.074,0.0,0.0
141024020,2.939,0.667,1.705,0.445,0.025,0.0,0.0,0.0
141024021,8.735,6.005,2.175,0.519,0.049,0.0,0.0,0.0
141024022,2.181,1.236,0.766,0.173,0.074,0.0,0.0,0.0
141024023,9.436,7.71,1.384,0.247,0.049,0.0,0.0,0.0
141024024,6.01,5.14,0.914,0.0,0.0,0.0,0.0,0.0
141024025,2.099,1.581,0.519,0.0,0.0,0.0,0.0,0.0
141024026,8.306,5.09,3.138,0.0,0.0,0.0,0.0,0.0
141024028,2.003,1.903,0.099,0.0,0.0,0.0,0.0,0.0
141024029,5.329,4.003,1.334,0.0,0.0,0.0,0.0,0.0
141024030,4.998,4.003,1.038,0.0,0.0,0.0,0.0,0.0
141024031,2.576,1.161,1.285,0.148,0.0,0.0,0.0,0.0
141024032,2.24,1.137,0.791,0.346,0.0,0.0,0.0,0.0
141024034,0.425,0.494,0.0,0.0,0.0,0.0,0.0,0.0
141024035,7.878,6.771,1.137,0.025,0.0,0.0,0.0,0.0
141024036,7.713,7.364,0.494,0.0,0.0,0.0,0.0,0.0
141024037,2.882,2.619,0.272,0.0,0.0,0.0,0.0,0.0
141024038,2.89,2.693,0.148,0.0,0.0,0.0,0.0,0.0
141024039,1.689,1.606,0.074,0.0,0.0,0.0,0.0,0.0
141024040,6.236,4.868,1.359,0.0,0.0,0.0,0.0,0.0
141024041,8.196,6.944,1.137,0.0,0.0,0.0,0.0,0.0
141024042,2.097,0.593,1.161,0.222,0.099,0.0,0.0,0.0
141024043,2.026,1.779,0.173,0.0,0.0,0.0,0.0,0.0
141024044,2.803,0.939,1.433,0.346,0.074,0.0,0.0,0.0
141024045,2.618,0.988,1.236,0.148,0.099,0.124,0.0,0.0
141024046,9.613,4.695,3.262,1.285,0.247,0.124,0.0,0.0
141024047,9.543,1.186,6.375,1.804,0.148,0.0,0.0,0.0
141024048,8.168,6.968,1.186,0.025,0.0,0.0,0.0,0.0
141024049,3.091,3.064,0.025,0.0,0.0,0.0,0.0,0.0
141024050,8.127,7.833,0.272,0.0,0.0,0.0,0.0,0.0
141024051,8.895,8.377,0.494,0.0,0.0,0.0,0.0,0.0
141024052,4.696,4.473,0.198,0.0,0.0,0.0,0.0,0.0
141024053,3.2,2.693,0.42,0.0,0.0,0.0,0.0,0.0
141024054,9.402,7.611,1.384,0.222,0.0,0.0,0.0,0.0
141024055,1.999,1.73,0.148,0.0,0.0,0.0,0.0,0.0
141024056,1.998,1.705,0.148,0.0,0.0,0.0,0.0,0.0
141024057,3.846,2.397,1.112,0.371,0.0,0.0,0.0,0.0
141024058,0.507,0.519,0.025,0.0,0.0,0.0,0.0,0.0
141024059,4.029,3.954,0.074,0.0,0.0,0.0,0.0,0.0
141024060,5.115,4.695,0.42,0.0,0.0,0.0,0.0,0.0
141024061,5.242,4.819,0.371,0.0,0.0,0.0,0.0,0.0
141024062,5.316,4.473,0.865,0.0,0.0,0.0,0.0,0.0
141024063,4.743,4.67,0.025,0.0,0.0,0.0,0.0,0.0
141024064,10.173,10.107,0.148,0.0,0.0,0.0,0.0,0.0
141024065,7.889,7.092,0.766,0.0,0.0,0.0,0.0,0.0
141024066,0.986,0.766,0.222,0.0,0.0,0.0,0.0,0.0
141024067,1.478,1.334,0.099,0.0,0.0,0.0,0.0,0.0
141024068,3.036,2.99,0.148,0.0,0.0,0.0,0.0,0.0
141024069,1.201,0.791,0.321,0.049,0.025,0.0,0.0,0.0
141024070,0.421,0.371,0.025,0.025,0.0,0.0,0.0,0.0
141024072,0.285,0.124,0.124,0.049,0.0,0.0,0.0,0.0
141024075,0.062,0.049,0.0,0.0,0.0,0.0,0.0,0.0
141024076,2.11,2.125,0.0,0.0,0.0,0.0,0.0,0.0
141024077,2.196,1.878,0.321,0.0,0.0,0.0,0.0,0.0
141024078,2.045,2.051,0.049,0.0,0.0,0.0,0.0,0.0
141024079,2.174,1.656,0.395,0.124,0.0,0.0,0.0,0.0
141024080,2.989,2.175,0.741,0.0,0.0,0.0,0.0,0.0
141024081,2.487,0.568,1.458,0.47,0.025,0.0,0.0,0.0
141024082,1.968,1.384,0.593,0.0,0.0,0.0,0.0,0.0
141024083,2.23,1.557,0.791,0.0,0.0,0.0,0.0,0.0
141024084,6.932,6.276,0.642,0.0,0.0,0.0,0.0,0.0
141024085,1.98,1.112,0.865,0.0,0.0,0.0,0.0,0.0
