tmk,parcel_acres,a_acres,b_acres,c_acres,d_acres,e_acres,s0_eligible_acres,s3_eligible_acres,dist_46kv_km,dist_138kv_km
153008027,0.124,0.0,0.016,0.0,0.0,0.0,0.012,0.016,11.028,14.603
153008029,0.118,0.0,0.039,0.0,0.0,0.0,0.012,0.024,10.962,14.618
153009004,0.264,0.0,0.194,0.0,0.0,0.07,0.026,0.053,11.033,14.008
153009006,0.135,0.0,0.135,0.0,0.0,0.0,0.014,0.027,11.016,14.107
153009008,0.274,0.0,0.274,0.0,0.0,0.0,0.027,0.055,10.946,14.124
153009009,0.354,0.0,0.354,0.0,0.0,0.0,0.035,0.071,10.937,14.44
153009010,0.191,0.0,0.009,0.0,0.0,0.0,0.009,0.009,10.869,14.602
153009019,1.994,0.0,0.95,1.044,0.0,0.0,0.199,0.399,10.031,14.667
153009022,16.697,0.0,0.0,0.0,0.0,15.172,0.0,0.0,11.248,13.445
153009023,39.402,0.0,20.02,19.271,0.0,0.0,3.94,7.88,11.131,14.021
153009024,4.542,0.0,1.241,0.0,0.0,0.0,0.454,0.908,11.14,14.482
153009025,0.253,0.0,0.253,0.0,0.0,0.0,0.025,0.051,11.015,14.056
153009030,0.146,0.0,0.056,0.0,0.0,0.0,0.015,0.029,10.83,14.588
153009095,5.452,0.0,1.997,3.12,0.0,0.0,0.545,1.09,10.485,14.374
153013040,1.454,0.0,0.331,0.0,0.0,0.0,0.145,0.291,9.543,15.079
153014007,0.402,0.0,0.002,0.0,0.0,0.0,0.002,0.002,9.276,15.227
153014020,1.322,0.0,0.588,0.0,0.0,0.0,0.132,0.264,9.314,15.123
153014022,0.944,0.0,0.137,0.0,0.0,0.0,0.094,0.137,9.297,15.119
153014028,0.345,0.0,0.011,0.0,0.0,0.0,0.011,0.011,9.5,15.129
153014029,0.252,0.0,0.024,0.0,0.0,0.0,0.024,0.024,9.5,15.117
153014030,0.238,0.0,0.043,0.0,0.0,0.0,0.024,0.043,9.495,15.098
153014031,0.296,0.0,0.201,0.0,0.0,0.0,0.03,0.059,9.491,15.071
153014032,0.208,0.0,0.12,0.0,0.0,0.0,0.021,0.042,9.482,15.082
153014033,0.205,0.0,0.101,0.0,0.0,0.0,0.02,0.041,9.463,15.092
153014034,0.195,0.0,0.1,0.0,0.0,0.0,0.02,0.039,9.445,15.099
153014035,0.203,0.0,0.108,0.0,0.0,0.0,0.02,0.041,9.427,15.105
151004002,0.082,0.0,0.0,0.0,0.0,0.082,0.0,0.0,12.875,12.875
151004003,0.691,0.0,0.0,0.001,0.0,0.689,0.001,0.001,12.917,12.917
151006011,0.3,0.0,0.064,0.0,0.0,0.0,0.03,0.06,12.921,12.921
151008002,22.169,0.0,0.0,3.321,14.196,3.417,2.217,3.321,13.771,13.771
151008004,3.801,0.0,0.0,0.0,3.532,0.269,0.0,0.0,13.607,13.607
151007001,1303.213,0.0,0.0,0.0,9.008,32.696,0.0,0.0,10.377,10.377
151007002,35.263,0.0,0.0,0.0,26.17,7.581,0.0,0.0,12.871,12.871
151007003,19.83,0.0,0.0,0.0,0.206,0.0,0.0,0.0,13.827,13.827
151008006,3.425,0.0,0.0,0.0,0.626,2.084,0.0,0.0,13.856,13.856
151008007,25.206,0.0,0.006,2.947,11.478,5.063,2.521,2.953,13.042,13.042
151009001,1.856,0.0,0.0,0.62,0.546,0.69,0.186,0.371,13.004,13.004
151009002,1.007,0.0,0.0,0.002,0.319,0.687,0.002,0.002,13.062,13.062
151009003,0.516,0.0,0.0,0.0,0.353,0.144,0.0,0.0,13.116,13.116
151009004,0.628,0.0,0.0,0.051,0.0,0.577,0.051,0.051,13.093,13.093
